step,value,wall_time
4,1.7809902429580688,1758310305.2556226
5,1.7119157314300537,1758310640.8833437
6,1.671725869178772,1758310976.1475146
7,1.6380529403686523,1758311308.2489476
8,1.6327683925628662,1758311646.084139
9,1.6294224262237549,1758311981.6373897
10,1.6280758380889893,1758312319.8380246
11,1.6134206056594849,1758312656.9064395
12,1.6068192720413208,1758312991.301587
13,1.6201368570327759,1758313330.2686756
14,1.619478464126587,1758313667.0525289
15,1.625085473060608,1758314008.7729125
16,1.6408215761184692,1758314343.0775237
17,1.6444069147109985,1758314675.0140634
18,1.6391476392745972,1758315013.1205423
19,1.6501601934432983,1758315349.8010502
20,1.6488715410232544,1758315686.9283655
21,1.665339708328247,1758316023.6091187
22,1.652630090713501,1758316362.1055117
23,1.6552332639694214,1758316699.7423115
24,1.6436655521392822,1758317039.985655
25,1.6435593366622925,1758317376.8283644
26,1.6454983949661255,1758317709.8785546
27,1.642976999282837,1758318050.0843656
28,1.647900104522705,1758318383.8913841
29,1.6544166803359985,1758318717.952622
30,1.6708241701126099,1758319057.159873
31,1.7002962827682495,1758319392.398998
32,1.792133092880249,1758319729.9569104
33,1.8766653537750244,1758320064.8146555
34,2.0827746391296387,1758320398.8660312
35,2.372190237045288,1758320735.3912714
36,2.425044298171997,1758321067.7120361
37,2.4665346145629883,1758321398.8849304
38,2.4916934967041016,1758321731.238911
39,2.560621500015259,1758322062.6459315
40,2.617891311645508,1758322396.764373
41,2.7205893993377686,1758322727.4382339
