step,value,wall_time
4,0.0,1758310305.2556226
5,0.0,1758310640.8833437
6,0.0,1758310976.1475146
7,0.0,1758311308.2489476
8,0.0,1758311646.084139
9,0.0,1758311981.638389
10,0.0,1758312319.8380246
11,0.0,1758312656.9064395
12,0.0,1758312991.301587
13,0.0,1758313330.2686756
14,0.0,1758313667.0525289
15,0.0,1758314008.7729125
16,0.0,1758314343.0775237
17,0.0,1758314675.0140634
18,0.0,1758315013.1205423
19,0.0,1758315349.8010502
20,0.0,1758315686.9283655
21,0.0,1758316023.6091187
22,0.0,1758316362.1055117
23,0.0,1758316699.7423115
24,0.0,1758317039.985655
25,0.0,1758317376.8283644
26,0.0,1758317709.8785546
27,0.0,1758318050.0843656
28,0.0,1758318383.8913841
29,0.0,1758318717.952622
30,0.0,1758319057.159873
31,0.0,1758319392.398998
32,0.0,1758319729.9569104
33,0.0,1758320064.8146555
34,0.0,1758320398.86703
35,0.0,1758320735.3912714
36,0.0,1758321067.7120361
37,0.0,1758321398.8849304
38,0.0,1758321731.238911
39,0.0,1758322062.6459315
40,0.0,1758322396.764373
41,0.0,1758322727.4392343
