step,value,wall_time
4,0.30165112018585205,1758310305.2556226
5,0.2873753011226654,1758310640.8833437
6,0.273062527179718,1758310976.1475146
7,0.2607552707195282,1758311308.2489476
8,0.25013190507888794,1758311646.084139
9,0.2416796237230301,1758311981.6373897
10,0.23476244509220123,1758312319.8380246
11,0.22815339267253876,1758312656.9064395
12,0.22265546023845673,1758312991.301587
13,0.21851421892642975,1758313330.2686756
14,0.21415121853351593,1758313667.0525289
15,0.2106749415397644,1758314008.7729125
16,0.20788376033306122,1758314343.0775237
17,0.20499837398529053,1758314675.0140634
18,0.2022639513015747,1758315013.1205423
19,0.19997122883796692,1758315349.8010502
20,0.19791819155216217,1758315686.9283655
21,0.19593209028244019,1758316023.6091187
22,0.19396212697029114,1758316362.1055117
23,0.19236786663532257,1758316699.7423115
24,0.19028623402118683,1758317039.985655
25,0.18950694799423218,1758317376.8283644
26,0.1879444271326065,1758317709.8785546
27,0.1865418553352356,1758318050.0843656
28,0.1853436976671219,1758318383.8913841
29,0.18449918925762177,1758318717.952622
30,0.18354050815105438,1758319057.159873
31,0.18286104500293732,1758319392.398998
32,0.1826050579547882,1758319729.9569104
33,0.18223290145397186,1758320064.8146555
34,0.18246117234230042,1758320398.86703
35,0.18362554907798767,1758320735.3912714
36,0.18551406264305115,1758321067.7120361
37,0.1860785186290741,1758321398.8849304
38,0.18626713752746582,1758321731.238911
39,0.18646779656410217,1758322062.6459315
40,0.18647582828998566,1758322396.764373
41,0.18681849539279938,1758322727.4382339
