step,value,wall_time
4,0.15740881860256195,1758310305.2556226
5,0.16904640197753906,1758310640.8833437
6,0.1805247962474823,1758310976.1475146
7,0.1912597268819809,1758311308.2489476
8,0.20114566385746002,1758311646.084139
9,0.20919260382652283,1758311981.638389
10,0.2161387950181961,1758312319.8380246
11,0.22302091121673584,1758312656.9064395
12,0.22865496575832367,1758312991.301587
13,0.23360271751880646,1758313330.2686756
14,0.23901145160198212,1758313667.0525289
15,0.24242891371250153,1758314008.7729125
16,0.24570049345493317,1758314343.0775237
17,0.24949397146701813,1758314675.0140634
18,0.2523750364780426,1758315013.1205423
19,0.2558070719242096,1758315349.8010502
20,0.2585597038269043,1758315686.9283655
21,0.2616046965122223,1758316023.6091187
22,0.26448121666908264,1758316362.1055117
23,0.266639769077301,1758316699.7423115
24,0.269753634929657,1758317039.985655
25,0.27111804485321045,1758317376.8283644
26,0.27383771538734436,1758317709.8785546
27,0.27602601051330566,1758318050.0843656
28,0.2784286141395569,1758318383.8913841
29,0.2796527147293091,1758318717.952622
30,0.281362920999527,1758319057.159873
31,0.2824384570121765,1758319392.398998
32,0.28234606981277466,1758319729.9569104
33,0.2825358510017395,1758320064.8146555
34,0.2813152074813843,1758320398.86703
35,0.27776509523391724,1758320735.3922703
36,0.2729248106479645,1758321067.7120361
37,0.27097827196121216,1758321398.8849304
38,0.27065110206604004,1758321731.238911
39,0.26924553513526917,1758322062.6459315
40,0.26884257793426514,1758322396.764373
41,0.2683858871459961,1758322727.4392343
