step,value,wall_time
0,3.692620038986206,1758788779.7153013
1,2.6333112716674805,1758789113.146203
2,2.257183313369751,1758789451.5271657
3,1.993789792060852,1758789783.8372118
4,1.9012184143066406,1758790122.1584885
5,1.7679463624954224,1758790463.4298124
6,1.7058087587356567,1758790798.321572
7,1.6632685661315918,1758791132.1987543
8,1.6435917615890503,1758791467.5299954
9,1.6383618116378784,1758791801.1969867
10,1.628830909729004,1758792138.5106828
11,1.623517632484436,1758792472.2209086
12,1.6305993795394897,1758792809.3974404
13,1.6261138916015625,1758793140.2498186
14,1.6172937154769897,1758793470.599974
15,1.6287670135498047,1758793813.6990154
16,1.6172703504562378,1758794147.6088622
17,1.6309535503387451,1758794489.162302
18,1.6355135440826416,1758794829.7218945
19,1.652862548828125,1758795172.6305764
20,1.657732367515564,1758795509.072562
21,1.6559699773788452,1758795852.236657
22,1.674397349357605,1758796190.6056874
23,1.6656442880630493,1758796533.4439788
24,1.6659632921218872,1758796868.3605263
25,1.667319893836975,1758797201.7798371
26,1.6691129207611084,1758797541.994935
27,1.6604739427566528,1758797877.274303
28,1.6542822122573853,1758798212.0679827
29,1.6677998304367065,1758798541.5704854
30,1.6819406747817993,1758798885.973671
31,1.6761021614074707,1758799225.0267894
32,1.6845942735671997,1758799555.4021387
33,1.7096993923187256,1758799891.8360145
34,1.7952961921691895,1758800224.3852506
35,1.929058313369751,1758800557.4867432
36,2.1133525371551514,1758800887.7678099
37,2.41033935546875,1758801219.0803602
38,2.495603322982788,1758801548.233526
39,2.500598669052124,1758801876.2230325
40,2.476005792617798,1758802212.4561853
41,2.5199129581451416,1758802537.8800302
42,2.5566790103912354,1758802867.7591374
43,2.6283531188964844,1758803193.437618
