step,value,wall_time
0,0.25465989112854004,1758788779.7153013
1,0.348715215921402,1758789113.146203
2,0.38619253039360046,1758789451.5271657
3,0.4111970365047455,1758789783.8372118
4,0.4192294478416443,1758790122.1584885
5,0.4383408725261688,1758790463.4298124
6,0.44337695837020874,1758790798.321572
7,0.4444863498210907,1758791132.1987543
8,0.4446581304073334,1758791467.5299954
9,0.44684478640556335,1758791801.1969867
10,0.4507160484790802,1758792138.5106828
11,0.4529079496860504,1758792472.2209086
12,0.4506472945213318,1758792809.3974404
13,0.45175808668136597,1758793140.2498186
14,0.4522269368171692,1758793470.599974
15,0.45082587003707886,1758793813.6990154
16,0.4500020742416382,1758794147.6088622
17,0.451789915561676,1758794489.162302
18,0.441366046667099,1758794829.7218945
19,0.4443434774875641,1758795172.6305764
20,0.4401456415653229,1758795509.072562
21,0.44104793667793274,1758795852.236657
22,0.44155389070510864,1758796190.6056874
23,0.4362353980541229,1758796533.4439788
24,0.44024989008903503,1758796868.3605263
25,0.43835166096687317,1758797201.7798371
26,0.44854217767715454,1758797541.994935
27,0.4397132992744446,1758797877.274303
28,0.43947479128837585,1758798212.0679827
29,0.439201682806015,1758798541.5704854
30,0.4357219338417053,1758798885.973671
31,0.4401658773422241,1758799225.0267894
32,0.4345206022262573,1758799555.4021387
33,0.41926050186157227,1758799891.8360145
34,0.4052349030971527,1758800224.3852506
35,0.36671143770217896,1758800557.4867432
36,0.3309282660484314,1758800887.7678099
37,0.2759694755077362,1758801219.0803602
38,0.259217232465744,1758801548.233526
39,0.2694864273071289,1758801876.2230325
40,0.2750352919101715,1758802212.4561853
41,0.2660217881202698,1758802537.8800302
42,0.25867798924446106,1758802867.7591374
43,0.2508663535118103,1758803193.437618
