step,value,wall_time
0,40.57984924316406,1758788779.7153013
1,39.22355270385742,1758789113.146203
2,37.46499252319336,1758789451.5271657
3,35.20429611206055,1758789783.8372118
4,33.744266510009766,1758790122.1574888
5,31.878692626953125,1758790463.4298124
6,30.321212768554688,1758790798.321572
7,28.95493507385254,1758791132.1987543
8,27.759798049926758,1758791467.5299954
9,26.729204177856445,1758791801.1969867
10,25.771820068359375,1758792138.5106828
11,25.038576126098633,1758792472.2209086
12,24.38454818725586,1758792809.3974404
13,23.859342575073242,1758793140.2498186
14,23.45338249206543,1758793470.599974
15,22.98941421508789,1758793813.6990154
16,22.676937103271484,1758794147.6088622
17,22.35600471496582,1758794489.162302
18,22.130640029907227,1758794829.7218945
19,21.88595962524414,1758795172.6305764
20,21.59830093383789,1758795509.072562
21,21.443998336791992,1758795852.236657
22,21.2574405670166,1758796190.604689
23,21.061542510986328,1758796533.4439788
24,20.897544860839844,1758796868.3605263
25,20.75673484802246,1758797201.7798371
26,20.600419998168945,1758797541.994935
27,20.473527908325195,1758797877.274303
28,20.3524169921875,1758798212.0679827
29,20.241498947143555,1758798541.5704854
30,20.144065856933594,1758798885.973671
31,20.026241302490234,1758799225.0267894
32,19.965383529663086,1758799555.4021387
33,19.925521850585938,1758799891.8360145
34,19.963539123535156,1758800224.3852506
35,20.082645416259766,1758800557.4867432
36,20.29508399963379,1758800887.7678099
37,20.718154907226562,1758801219.0803602
38,20.967817306518555,1758801548.233526
39,21.03938865661621,1758801876.2230325
40,20.983423233032227,1758802212.4561853
41,21.06285285949707,1758802537.8800302
42,21.151599884033203,1758802867.7591374
43,21.166154861450195,1758803193.437618
