step,value,wall_time
0,0.6752669215202332,1758788779.7153013
1,0.6426844000816345,1758789113.146203
2,0.6259487271308899,1758789451.5271657
3,0.6044517755508423,1758789783.8372118
4,0.5869672298431396,1758790122.1584885
5,0.569994330406189,1758790463.4298124
6,0.5580064654350281,1758790798.321572
7,0.5470707416534424,1758791132.1987543
8,0.538208544254303,1758791467.5299954
9,0.5301281809806824,1758791801.1969867
10,0.5235937237739563,1758792138.5106828
11,0.517343282699585,1758792472.2209086
12,0.5124877095222473,1758792809.3974404
13,0.5076283812522888,1758793140.2498186
14,0.5042195916175842,1758793470.599974
15,0.5007017254829407,1758793813.6990154
16,0.4971192181110382,1758794147.6088622
17,0.49352937936782837,1758794489.162302
18,0.4915812611579895,1758794829.7218945
19,0.4888272285461426,1758795172.6315758
20,0.4861758351325989,1758795509.072562
21,0.48372340202331543,1758795852.236657
22,0.4814014434814453,1758796190.6056874
23,0.4787517189979553,1758796533.4439788
24,0.4771992564201355,1758796868.3605263
25,0.47490212321281433,1758797201.7798371
26,0.473285049200058,1758797541.994935
27,0.4717460572719574,1758797877.274303
28,0.4697536528110504,1758798212.0679827
29,0.4689042866230011,1758798541.5704854
30,0.4678807854652405,1758798885.973671
31,0.4664567708969116,1758799225.0267894
32,0.46506786346435547,1758799555.4021387
33,0.4640832245349884,1758799891.8360145
34,0.46353861689567566,1758800224.3852506
35,0.46401283144950867,1758800557.4867432
36,0.46394649147987366,1758800887.7678099
37,0.46602314710617065,1758801219.0803602
38,0.46962976455688477,1758801548.233526
39,0.4713197648525238,1758801876.2230325
40,0.4716392755508423,1758802212.4561853
41,0.4716024100780487,1758802537.8800302
42,0.4724007844924927,1758802867.7591374
43,0.47275155782699585,1758803193.437618
