step,value,wall_time
0,0.0,1758788779.7153013
1,0.0,1758789113.146203
2,0.0,1758789451.5271657
3,0.0,1758789783.8372118
4,0.0,1758790122.1584885
5,0.0,1758790463.4298124
6,0.0,1758790798.321572
7,0.0,1758791132.1987543
8,0.0,1758791467.5299954
9,0.0,1758791801.1969867
10,0.0,1758792138.5106828
11,0.0,1758792472.2209086
12,0.0,1758792809.3974404
13,0.0,1758793140.2498186
14,0.0,1758793470.599974
15,0.0,1758793813.6990154
16,0.0,1758794147.6088622
17,0.0,1758794489.162302
18,0.0,1758794829.7218945
19,0.0,1758795172.6315758
20,0.0,1758795509.072562
21,0.0,1758795852.236657
22,0.0,1758796190.6056874
23,0.0,1758796533.4439788
24,0.0,1758796868.3605263
25,0.0,1758797201.7798371
26,0.0,1758797541.994935
27,0.0,1758797877.274303
28,0.0,1758798212.0679827
29,0.0,1758798541.5704854
30,0.0,1758798885.973671
31,0.0,1758799225.0267894
32,0.0,1758799555.4021387
33,0.0,1758799891.8360145
34,0.0,1758800224.3852506
35,0.0,1758800557.4867432
36,0.0,1758800887.7678099
37,0.0,1758801219.0803602
38,0.0,1758801548.233526
39,0.0,1758801876.2230325
40,0.0,1758802212.4561853
41,0.0,1758802537.8800302
42,0.0,1758802867.7591374
43,0.0,1758803193.437618
