step,value,wall_time
0,12.491170883178711,1758788779.7153013
1,12.427421569824219,1758789113.146203
2,12.666391372680664,1758789451.5271657
3,13.079941749572754,1758789783.8372118
4,13.365352630615234,1758790122.1584885
5,13.755250930786133,1758790463.4298124
6,14.130725860595703,1758790798.321572
7,14.48518180847168,1758791132.1987543
8,14.819045066833496,1758791467.5299954
9,15.127097129821777,1758791801.1969867
10,15.421833038330078,1758792138.5106828
11,15.65650749206543,1758792472.2209086
12,15.873327255249023,1758792809.3974404
13,16.052631378173828,1758793140.2498186
14,16.1940860748291,1758793470.599974
15,16.36528205871582,1758793813.6990154
16,16.471385955810547,1758794147.6088622
17,16.590200424194336,1758794489.162302
18,16.681535720825195,1758794829.7218945
19,16.782438278198242,1758795172.6315758
20,16.895051956176758,1758795509.072562
21,16.950822830200195,1758795852.236657
22,17.028228759765625,1758796190.6056874
23,17.10774803161621,1758796533.4439788
24,17.16800308227539,1758796868.3605263
25,17.221033096313477,1758797201.7798371
26,17.28984260559082,1758797541.994935
27,17.338699340820312,1758797877.274303
28,17.389150619506836,1758798212.0679827
29,17.446273803710938,1758798541.5704854
30,17.484643936157227,1758798885.973671
31,17.538469314575195,1758799225.0267894
32,17.56233787536621,1758799555.4021387
33,17.59027862548828,1758799891.8360145
34,17.612712860107422,1758800224.3852506
35,17.619966506958008,1758800557.4867432
36,17.60733413696289,1758800887.7678099
37,17.554868698120117,1758801219.0803602
38,17.494407653808594,1758801548.233526
39,17.46346664428711,1758801876.2230325
40,17.477561950683594,1758802212.4561853
41,17.462865829467773,1758802537.8800302
42,17.419042587280273,1758802867.7591374
43,17.45418357849121,1758803193.437618
