step,value,wall_time
0,0.3688722848892212,1758788779.7153013
1,0.3659023940563202,1758789113.146203
2,0.3520781099796295,1758789451.5271657
3,0.3321050703525543,1758789783.8372118
4,0.31843045353889465,1758790122.1584885
5,0.3011074662208557,1758790463.4298124
6,0.28615403175354004,1758790798.321572
7,0.27291667461395264,1758791132.1987543
8,0.26116207242012024,1758791467.5299954
9,0.25090843439102173,1758791801.1969867
10,0.2414298951625824,1758792138.5106828
11,0.23415058851242065,1758792472.2209086
12,0.22753947973251343,1758792809.3974404
13,0.22233228385448456,1758793140.2498186
14,0.21836090087890625,1758793470.599974
15,0.21360647678375244,1758793813.6990154
16,0.21059666574001312,1758794147.6088622
17,0.20725052058696747,1758794489.162302
18,0.20495125651359558,1758794829.7218945
19,0.20233097672462463,1758795172.6315758
20,0.19940568506717682,1758795509.072562
21,0.19788028299808502,1758795852.236657
22,0.19583041965961456,1758796190.6056874
23,0.19395896792411804,1758796533.4439788
24,0.19231581687927246,1758796868.3605263
25,0.19089414179325104,1758797201.7798371
26,0.18931306898593903,1758797541.994935
27,0.18813054263591766,1758797877.274303
28,0.18698135018348694,1758798212.0679827
29,0.1857369989156723,1758798541.5704854
30,0.18462125957012177,1758798885.973671
31,0.18350139260292053,1758799225.0267894
32,0.18280789256095886,1758799555.4021387
33,0.1821582168340683,1758799891.8360145
34,0.18168242275714874,1758800224.3852506
35,0.18153586983680725,1758800557.4867432
36,0.18181732296943665,1758800887.7678099
37,0.18307815492153168,1758801219.0803602
38,0.1847221404314041,1758801548.233526
39,0.18538789451122284,1758801876.2230325
40,0.18507418036460876,1758802212.4561853
41,0.1854293942451477,1758802537.8800302
42,0.1859492063522339,1758802867.7591374
43,0.18537801504135132,1758803193.437618
