step,value,wall_time
0,0.1051083579659462,1758788779.7153013
1,0.10893630981445312,1758789113.146203
2,0.12207203358411789,1758789451.5271657
3,0.13540151715278625,1758789783.8372118
4,0.14580951631069183,1758790122.1584885
5,0.1584044247865677,1758790463.4298124
6,0.16996949911117554,1758790798.321572
7,0.180667445063591,1758791132.1987543
8,0.19091781973838806,1758791467.5299954
9,0.19980227947235107,1758791801.1969867
10,0.2090447098016739,1758792138.5106828
11,0.21620379388332367,1758792472.2209086
12,0.22325628995895386,1758792809.3974404
13,0.2290533185005188,1758793140.2498186
14,0.2333133965730667,1758793470.599974
15,0.23872320353984833,1758793813.6990154
16,0.24238236248493195,1758794147.6088622
17,0.246877521276474,1758794489.162302
18,0.24970141053199768,1758794829.7218945
19,0.25293371081352234,1758795172.6315758
20,0.25698935985565186,1758795509.072562
21,0.25883805751800537,1758795852.236657
22,0.261816143989563,1758796190.6056874
23,0.264610230922699,1758796533.4439788
24,0.2673322558403015,1758796868.3605263
25,0.2694345712661743,1758797201.7798371
26,0.271619975566864,1758797541.994935
27,0.27398037910461426,1758797877.274303
28,0.27538588643074036,1758798212.0679827
29,0.27801433205604553,1758798541.5704854
30,0.27969494462013245,1758798885.973671
31,0.28159189224243164,1758799225.0267894
32,0.2827228903770447,1758799555.4021387
33,0.2836013436317444,1758799891.8360145
34,0.2843259274959564,1758800224.3852506
35,0.28387442231178284,1758800557.4867432
36,0.2824034094810486,1758800887.7678099
37,0.2784873843193054,1758801219.0803602
38,0.2733900845050812,1758801548.233526
39,0.2714516222476959,1758801876.2230325
40,0.2723925709724426,1758802212.4561853
41,0.27162909507751465,1758802537.8800302
42,0.27132147550582886,1758802867.7591374
43,0.2714056670665741,1758803193.437618
